code name|rev|avg_rank tot(張) bratio 5d%|cum10 b/s consec f5 mom|ma20 pp|rvYoY adj|eps adj q|fr adj|events
1312 國喬|L0 ✅ 法人買超中。今日+3,952張|36.5 3953 34.0 2.4|+16K 6/4 c2 f5+11K m+165.3%|0.72 11|89.2 0|5 2026-06-30|0.17 0|法說會09-23,重大訊息(今日)09-23
3045 台灣大|L0 ✅ 法人買超中。今日+3,943張|25.0 3943 26.6 -0.8|+23K 10/0 c10 f5+8,905 m-7.6%|2.89 11|8.5 0|3 2026-06-30|0.08 0|
2885 元大金|L0 ✅ 法人買超中。今日+3,893張|30.5 3894 16.8 3.4|+4,112 7/3 c3 f5+24K m+256.1%|3.38 11|65.4 0|0 2025-12-31|0.09 0|重大訊息(今日)09-23
1718 中纖|L0 ✅ 法人買超中。今日+3,745張|38.5 3745 36.8 2.9|+19K 6/4 c2 f5+14K m+328.7%|0.28 10|4.4 0|5 2026-06-30|0.19 0|
6278 台表科|L0 ✅ 法人買超中。今日+3,615張|24.5 3616 26.3 18.3|+4,940 7/3 c1 f5+1,933 m+47.6%|9.78 13|10.9 0|5 2026-06-30|1.01 5|
1102 亞泥|L0 ✅ 法人買超中。今日+3,443張|35.0 3443 54.0 0.7|+16K 9/1 c4 f5+3,919 m-35.9%|0.92 11|-1.3 -5|5 2026-06-30|0.1 0|重大訊息(今日)09-23
2412 中華電|L0 🟢 Level 0（中性）：今日+2,478張（小量買超），累計+63,187張|35.0 2478 45.8 1.0|+68K 10/0 c10 f5+26K m-39.8%|3.65 11|25.6 0|0 2026-06-30|0.09 0|
6213 聯茂|L0 🟢 Level 0（中性）：今日+2,389張（小量買超），累計+1,061張|29.0 2389 11.5 4.6|+1,842 7/3 c3 f5-1,763 m-94.4%|2.13 11|97.9 0|5 2026-06-30|0.57 5|
5876 上海商銀|L0 🟢 Level 0（中性）：今日+2,192張（小量買超），累計+19,760張|44.0 2193 48.4 -0.2|+20K 10/0 c10 f5+4,003 m-38.4%|5.51 13|7.1 0|-5 2025-12-31|0.03 0|
2891 中信金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-3,329張（佔日均量6.9%）|- 0 0 -|+45K 8/2 c0 f5+10K m+41.6%|2.93 11|-2.5 0|3 2025-12-31|0.03 0|重大訊息(今日)09-23
2609 陽明|L0 ✅ 法人買超中。今日+3,360張|34.5 3361 20.4 3.4|+68K 7/3 c2 f5+38K m+40.7%|3.33 11|56.2 0|5 2026-06-30|-0.08 0|
2834 臺企銀|L4 🔴🔴 Level 4：爆量賣超！今日賣超-4,376張（佔日均量9.5%）|- 0 0 -|+35K 6/4 c0 f5+8,785 m-79.5%|3.8 11|8.8 0|0 2025-12-31|-0.07 0|
2382 廣達|L2 ⚠️⚠️ Level 2：單日反轉！前期買超+11,342張，今日賣超-312張|- 0 0 -|+25K 7/3 c0 f5-4,797 m-10.9%|1.1 11|177.5 0|5 2026-06-30|-0.13 -3|法說會09-21
5880 合庫金|L0 🟢 Level 0（中性）：今日+1,275張（小量買超），累計+36,574張|- 0 0 -|+39K 9/1 c5 f5+12K m-26.6%|1.84 11|-0.7 0|5 2025-12-31|0.01 0|重大訊息(今日)09-23
3023 信邦|L0 🟢 Level 0（中性）：今日+20張（小量買超），累計+560張|- 0 0 -|+756 8/2 c1 f5+391 m-25.4%|-0.86 8|32.5 0|0 2026-06-30|0.04 0|
2408 南亞科|L4 🔴🔴 Level 4：爆量賣超！今日賣超-23,704張（佔日均量53.3%）|- 0 0 -|-25K 3/7 c0 f5+12K m+143.3%|-2.42 8|560.9 0|5 2026-06-30|1.04 5|
2344 華邦電|L4 🔴🔴 Level 4：爆量賣超！今日賣超-8,054張（佔日均量8.4%）|- 0 0 -|-139K 2/8 c0 f5+35K m+115.0%|-2.69 8|289.4 0|5 2026-06-30|0.95 5|
2337 旺宏|L4 🔴🔴 Level 4：爆量賣超！今日賣超-3,351張（佔日均量11.3%）|- 0 0 -|-9,389 3/7 c0 f5+3,820 m+133.9%|-3.0 6|218.5 0|5 2026-06-30|0.53 5|
8299 ?|L-1 ❓ 數據不足：僅取得0天數據（需≥3天）|- 0 0 -|None None/None cNone f5None mNone|5.54 13|376.5 0|5 2026-06-30|0.37 0|
2603 長榮|L0 🟢 Level 0（中性）：今日+681張（小量買超），累計+11,146張|- 0 0 -|+14K 8/2 c5 f5+2,950 m+90.5%|2.94 11|48.6 0|5 2026-06-30|-0.02 0|
2615 萬海|L0 🟢 Level 0（中性）：今日+854張（小量買超），累計+1,366張|- 0 0 -|+2,929 8/2 c1 f5+7,338 m+252.2%|1.72 11|65.6 0|5 2026-06-30|0.04 0|
2492 華新科|L-1 ❓ 狀態不明：今日+2,508張，累計-12,993張（負），未匹配任何預警等級|28.5 2509 11.6 3.7|-16K 3/7 c1 f5+737 m+95.1%|2.4 10|45.5 0|5 2026-06-30|0.49 0|
3044 健鼎|L0 🟢 Level 0（中性）：今日+1,473張（小量買超），累計+672張|- 0 0 -|+1,774 6/4 c3 f5+912 m+220.4%|7.65 13|65.5 0|5 2026-06-30|0.26 0|
2330 台積電|L4 🔴🔴 Level 4：爆量賣超！今日賣超-4,268張（佔日均量21.9%）|- 0 0 -|-24K 3/7 c0 f5+447 m+117.9%|1.44 11|53.3 0|5 2026-06-30|0.01 0|
2454 聯發科|L0 🟢 Level 0（中性）：今日+1,972張（小量買超），累計+10,986張|24.5 1972 18.7 16.9|+10K 7/3 c5 f5+8,880 m+500.0%|15.9 15|44.1 0|-5 2026-06-30|0.21 0|法說會09-03
5274 ?|L-1 ❓ 數據不足：僅取得0天數據（需≥3天）|- 0 0 -|None None/None cNone f5None mNone|16.62 15|118.4 0|5 2026-06-30|0.04 0|
2377 微星|L0 🟢 Level 0（中性）：今日+474張（小量買超），累計+3,799張|- 0 0 -|+7,665 8/2 c5 f5+4,462 m+295.8%|0.85 11|-6.1 0|5 2026-06-30|0.04 0|
2395 研華|L0 🟢 Level 0（中性）：今日+389張（小量買超），累計+4,673張|- 0 0 -|+4,596 8/2 c2 f5+2,904 m+39.9%|2.97 11|87.5 0|5 2026-06-30|0.0 0|
4904 遠傳|L0 🟢 Level 0（中性）：今日+178張（小量買超），累計+5,620張|- 0 0 -|+6,591 9/1 c4 f5+791 m-67.3%|1.56 11|15.7 0|0 2026-06-30|0.02 0|
3042 晶技|L0 🟢 Level 0（中性）：今日+2,463張（小量買超），累計+7,879張|33.0 2463 37.4 1.4|+9,928 8/2 c7 f5+9,199 m+500.0%|1.24 11|23.5 0|5 2026-06-30|1.14 5|
2883 凱基金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-28,639張（佔日均量52.1%）|- 0 0 -|+17K 6/4 c0 f5+3,180 m+120.6%|6.95 13|58.7 0|5 2025-12-31|0.14 0|重大訊息(今日)09-23
